"table_name","column_name","data_type"
skater_stats,playerid,integer
skater_stats,gameid,integer
skater_stats,goals,integer
skater_stats,assists,integer
skater_stats,shots,integer
skater_stats,shot_pct,double precision
skater_stats,hits,integer
skater_stats,pp_goals,integer
skater_stats,pp_assists,integer
skater_stats,pim,integer
skater_stats,fow,integer
skater_stats,fot,integer
skater_stats,fo_pct,double precision
skater_stats,takeaways,integer
skater_stats,giveaways,integer
skater_stats,sh_goals,integer
skater_stats,sh_assists,integer
skater_stats,blocked_shots,integer
skater_stats,plus_minus,integer
skater_stats,toi,double precision
skater_stats,toi_even,double precision
skater_stats,toi_pp,double precision
skater_stats,toi_sh,double precision
skater_stats,fpts_dk,double precision
schedule,gameid,integer
schedule,game_type,text
schedule,season,text
schedule,game_datetime_utc,timestamp with time zone
schedule,abstract_state,text
schedule,abstract_state_code,text
schedule,detailed_state,text
schedule,detailed_state_code,text
schedule,away_team_id,integer
schedule,away_team_name,text
schedule,away_team_wins,integer
schedule,away_team_losses,integer
schedule,away_team_ot_losses,integer
schedule,away_team_score,integer
schedule,home_team_id,integer
schedule,home_team_name,text
schedule,home_team_wins,integer
schedule,home_team_losses,integer
schedule,home_team_ot_losses,integer
schedule,home_team_score,integer
schedule,venueid,integer
schedule,venue_name,text
team_games,gameid,integer
team_games,teamid,integer
team_games,team_name,text
team_games,home_away,text
team_games,goals,integer
team_games,pim,integer
team_games,shots,integer
team_games,pp_pct,text
team_games,pp_goals,double precision
team_games,pp_opps,double precision
team_games,faceoff_win_pct,text
team_games,blocked,integer
team_games,takeaways,integer
team_games,giveaways,integer
team_games,hits,integer
skater_games,playerid,integer
skater_games,gameid,integer
skater_games,goals,integer
skater_games,assists,integer
skater_games,shots,integer
skater_games,shot_pct,double precision
skater_games,hits,integer
skater_games,pp_goals,integer
skater_games,pp_assists,integer
skater_games,pim,integer
skater_games,fow,integer
skater_games,fot,integer
skater_games,fo_pct,double precision
skater_games,takeaways,integer
skater_games,giveaways,integer
skater_games,sh_goals,integer
skater_games,sh_assists,integer
skater_games,blocked_shots,integer
skater_games,plus_minus,integer
skater_games,toi,double precision
skater_games,toi_even,double precision
